epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1648.81,0.76784,0.90926,1.11533,0.50238,0.58025,0.52283,0.36539,1.03145,1.36335,1.48865,0.0011882,0.0011882,0.0011882
43,1688.9,0.73808,0.87595,1.11788,0.5151,0.49383,0.48213,0.3154,1.0543,1.40414,1.53683,0.0011684,0.0011684,0.0011684
44,1726.5,0.69058,0.78769,1.09247,0.52369,0.48148,0.45274,0.31598,1.07165,1.74413,1.55156,0.0011486,0.0011486,0.0011486
45,1764.69,0.69845,0.7851,1.08847,0.52832,0.51168,0.45213,0.31976,1.00075,1.57298,1.46774,0.0011288,0.0011288,0.0011288
46,1801.76,0.70636,0.80299,1.12117,0.49458,0.62963,0.51697,0.34229,0.95056,1.56705,1.38997,0.001109,0.001109,0.001109
47,1839.81,0.65191,0.72188,1.06276,0.59932,0.48148,0.52209,0.35757,0.96751,1.45715,1.40859,0.0010892,0.0010892,0.0010892
48,1877.51,0.71676,0.80732,1.11011,0.56091,0.52046,0.51919,0.35186,1.0213,1.36419,1.45289,0.0010694,0.0010694,0.0010694
49,1916.19,0.68371,0.78223,1.10499,0.54799,0.54321,0.47989,0.32789,1.04647,1.4431,1.48782,0.0010496,0.0010496,0.0010496
50,1953.67,0.68726,0.84719,1.14659,0.56299,0.54321,0.48441,0.32844,0.88808,1.4347,1.31198,0.0010298,0.0010298,0.0010298
51,1991.38,0.69241,0.79564,1.08759,0.43056,0.55556,0.45536,0.31387,0.89636,1.55625,1.3035,0.00101,0.00101,0.00101
52,2028.87,0.66335,0.72257,1.09165,0.51976,0.48103,0.45408,0.29148,0.94834,1.68189,1.36743,0.0009902,0.0009902,0.0009902
53,2067.27,0.63506,0.72498,1.07377,0.45866,0.4321,0.39885,0.25435,1.0239,1.75542,1.49908,0.0009704,0.0009704,0.0009704
54,2107.89,0.63394,0.68956,1.074,0.37292,0.53598,0.42135,0.29351,0.99563,1.71504,1.49821,0.0009506,0.0009506,0.0009506
55,2146.06,0.61859,0.65316,1.04845,0.44331,0.54321,0.48409,0.33391,0.96561,1.6995,1.3888,0.0009308,0.0009308,0.0009308
56,2184.38,0.62164,0.72077,1.05821,0.59081,0.51852,0.53465,0.37947,0.9165,1.39294,1.3691,0.000911,0.000911,0.000911
57,2222.27,0.66169,0.72627,1.07168,0.60315,0.55556,0.54847,0.36731,0.91688,1.36088,1.34896,0.0008912,0.0008912,0.0008912
58,2260.85,0.59728,0.64397,1.03422,0.47467,0.53548,0.47621,0.30969,0.98325,1.52579,1.38866,0.0008714,0.0008714,0.0008714
59,2299.28,0.61889,0.6551,1.04042,0.48939,0.58025,0.48549,0.3346,0.97363,1.49016,1.41278,0.0008516,0.0008516,0.0008516
60,2338.56,0.60114,0.65476,1.0455,0.54885,0.5107,0.46266,0.33743,0.9321,1.4645,1.38567,0.0008318,0.0008318,0.0008318
61,2378.3,0.56905,0.60652,1.01539,0.52051,0.54321,0.4557,0.30839,0.95065,1.56059,1.40783,0.000812,0.000812,0.000812
62,2416.42,0.58592,0.63215,1.02072,0.4991,0.51852,0.44521,0.2816,0.99044,1.66394,1.43437,0.0007922,0.0007922,0.0007922
63,2455.14,0.57059,0.60964,1.02786,0.50514,0.55556,0.44535,0.30412,0.98584,1.61626,1.40707,0.0007724,0.0007724,0.0007724
64,2494.12,0.5593,0.61404,1.00981,0.45063,0.60494,0.44833,0.29433,0.97521,1.6286,1.43937,0.0007526,0.0007526,0.0007526
65,2532.62,0.58156,0.59944,1.02576,0.48428,0.55556,0.45651,0.28569,1.00976,1.5693,1.49526,0.0007328,0.0007328,0.0007328
66,2571.98,0.56568,0.58425,1.00586,0.47562,0.58025,0.48411,0.31295,1.02833,1.5223,1.45483,0.000713,0.000713,0.000713
67,2610.9,0.59391,0.57921,1.02072,0.42808,0.59259,0.4539,0.30947,0.96745,1.51089,1.41977,0.0006932,0.0006932,0.0006932
68,2649.33,0.59493,0.60534,1.03116,0.51987,0.53086,0.49177,0.33072,0.93479,1.46298,1.40983,0.0006734,0.0006734,0.0006734
69,2688.44,0.51746,0.54528,0.996,0.54797,0.50617,0.50357,0.33771,0.93252,1.45495,1.37965,0.0006536,0.0006536,0.0006536
70,2726.81,0.52915,0.52813,0.97604,0.60056,0.51852,0.52207,0.39175,0.88304,1.34658,1.33048,0.0006338,0.0006338,0.0006338
71,2764.7,0.51836,0.56178,1.00761,0.6415,0.49383,0.52864,0.38762,0.85841,1.25846,1.30092,0.000614,0.000614,0.000614
72,2802.57,0.54733,0.54072,1.00006,0.54461,0.64198,0.53054,0.38628,0.85811,1.27584,1.279,0.0005942,0.0005942,0.0005942
73,2841.78,0.54465,0.54493,0.99613,0.56344,0.64198,0.55553,0.39927,0.9002,1.34164,1.34276,0.0005744,0.0005744,0.0005744
74,2881.22,0.51256,0.53586,0.98904,0.56378,0.60633,0.56199,0.38529,0.91549,1.38947,1.34199,0.0005546,0.0005546,0.0005546
75,2919.43,0.54198,0.56497,1.0006,0.50683,0.64711,0.55369,0.37371,0.91551,1.46083,1.35301,0.0005348,0.0005348,0.0005348
76,2957.28,0.5067,0.51519,0.97981,0.55373,0.61728,0.55453,0.38403,0.88366,1.43467,1.34123,0.000515,0.000515,0.000515
77,2996.69,0.52088,0.50631,0.99294,0.59101,0.57091,0.57007,0.40618,0.84105,1.39438,1.29289,0.0004952,0.0004952,0.0004952
78,3035.26,0.521,0.50563,0.9995,0.60957,0.52044,0.57591,0.41809,0.84725,1.32105,1.27761,0.0004754,0.0004754,0.0004754
79,3073.61,0.5212,0.49574,1.00374,0.55364,0.5679,0.56193,0.40622,0.85601,1.32059,1.28937,0.0004556,0.0004556,0.0004556
80,3111.68,0.5276,0.50603,1.00095,0.4881,0.60494,0.53991,0.37961,0.88092,1.41054,1.33323,0.0004358,0.0004358,0.0004358
81,3148.58,0.50477,0.50244,0.99996,0.48495,0.59259,0.52109,0.36984,0.89104,1.48942,1.33798,0.000416,0.000416,0.000416
82,3185.61,0.52844,0.5085,0.99293,0.48704,0.59784,0.51292,0.36162,0.91292,1.51705,1.35949,0.0003962,0.0003962,0.0003962
83,3223.6,0.4871,0.51459,0.94935,0.54115,0.53086,0.51737,0.36649,0.89881,1.50323,1.34286,0.0003764,0.0003764,0.0003764
84,3259.95,0.49919,0.48127,0.98165,0.56922,0.58025,0.52735,0.38188,0.8489,1.46224,1.29491,0.0003566,0.0003566,0.0003566
85,3297.01,0.49149,0.45702,0.98182,0.58227,0.56789,0.5344,0.39017,0.80786,1.44366,1.27609,0.0003368,0.0003368,0.0003368
86,3333.84,0.50999,0.47553,1.00885,0.60099,0.55556,0.53606,0.38713,0.82713,1.4732,1.30743,0.000317,0.000317,0.000317
87,3371,0.49067,0.47562,0.98732,0.60791,0.5551,0.53837,0.38983,0.85085,1.4957,1.32962,0.0002972,0.0002972,0.0002972
88,3408.02,0.46102,0.46673,0.98355,0.58312,0.51852,0.52494,0.37579,0.90621,1.56246,1.38814,0.0002774,0.0002774,0.0002774
89,3445.13,0.45661,0.4521,0.95732,0.52324,0.58025,0.53876,0.38136,0.90867,1.5164,1.38844,0.0002576,0.0002576,0.0002576
90,3482.06,0.49388,0.49615,0.99761,0.57121,0.5592,0.54926,0.38849,0.90866,1.43792,1.37014,0.0002378,0.0002378,0.0002378
91,3520.3,0.40886,0.51646,0.90317,0.49404,0.62688,0.54954,0.38906,0.88204,1.4631,1.33493,0.000218,0.000218,0.000218
92,3556.41,0.38587,0.44583,0.89129,0.4921,0.62963,0.49919,0.34423,0.87616,1.57248,1.30926,0.0001982,0.0001982,0.0001982
93,3593.48,0.40399,0.44911,0.90188,0.47774,0.57598,0.47919,0.3217,0.90661,1.63803,1.33881,0.0001784,0.0001784,0.0001784
94,3630.72,0.37977,0.40841,0.89372,0.51182,0.55658,0.47448,0.31924,0.9346,1.62595,1.38525,0.0001586,0.0001586,0.0001586
95,3666.9,0.38094,0.41388,0.89995,0.51056,0.59259,0.4824,0.32238,0.92378,1.57575,1.37329,0.0001388,0.0001388,0.0001388
96,3702.97,0.37374,0.40505,0.89327,0.61741,0.50617,0.51106,0.34396,0.91351,1.48566,1.35646,0.000119,0.000119,0.000119
97,3740.37,0.37456,0.36926,0.88004,0.63068,0.51852,0.52257,0.35863,0.88824,1.46267,1.33493,9.92e-05,9.92e-05,9.92e-05
98,3777.35,0.34201,0.34016,0.85763,0.62435,0.53352,0.52237,0.36836,0.87762,1.44521,1.32473,7.94e-05,7.94e-05,7.94e-05
99,3813.63,0.3678,0.377,0.90253,0.60187,0.54321,0.52976,0.37754,0.86985,1.43196,1.31352,5.96e-05,5.96e-05,5.96e-05
100,3851.09,0.36434,0.357,0.8821,0.57593,0.5679,0.53426,0.3756,0.86439,1.43995,1.30608,3.98e-05,3.98e-05,3.98e-05
